task_id,name,activity,module_count,scenario_count,phases,substrates,qts,buckets,methods,coatings,flags
TSK_ALRP_WINDOW_MASK,Window Masking,,1,2,setup,ext_aluminum_siding,QT2;QT3,rp_exterior,brush_roll;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_BRUSH_BEAM,Brush Finish Beam,,1,8,finish,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_BRUSH_COLUMN,Brush Finish Column,,1,8,finish,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_BRUSH_MANTEL,Brush Finish Mantel,,1,8,finish,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_BRUSH_PRIME_BEAM,Brush Prime Beam,Brush Prime,1,6,prime,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_ARCH_BRUSH_PRIME_COLUMN,Brush Prime Column,Brush Prime,1,6,prime,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_ARCH_BRUSH_PRIME_MANTEL,Brush Prime Mantel,Brush Prime,1,6,prime,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_ARCH_CAULK_BEAM,Caulk Beam Joints,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_CAULK_COLUMN,Caulk Column Joints,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_CAULK_MANTEL,Caulk Mantel Joints,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_DUST_CLEAN_BEAM,Dust Clean Beam,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_FILL_BEAM,Fill Beam Defects,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_FILL_COLUMN,Fill Column Defects,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_FILL_MANTEL,Fill Mantel Defects,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_FIXTURE_MASK,Mask Arch Element Fixtures,,1,8,setup,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_FLOOR_PERIM,Perimeter Floor Protection,,1,8,setup,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_FLOOR_WORKZONE,Workzone Floor Protection,,1,8,setup,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_REMOVE_FIXTURE_MASK,Remove Arch Fixture Mask,,1,8,cleanup,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_REMOVE_FLOOR_PERIM,Remove Perimeter Floor,,1,8,cleanup,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_REMOVE_FLOOR_WORKZONE,Remove Workzone Floor,,1,8,cleanup,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_REMOVE_WALL_MASK,Remove Arch Wall Mask,,1,8,cleanup,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_SAND_BEAM,Sand Beam,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_SAND_COLUMN,Sand Column,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_SAND_MANTEL,Sand Mantel,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_SEAL_MDF,Seal Beam MDF Edges,,1,8,prep,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_SPRAY_BEAM,Spray Finish Beam,,1,8,finish,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_SPRAY_COLUMN,Spray Finish Column,,1,8,finish,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_SPRAY_MANTEL,Spray Finish Mantel,,1,8,finish,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_ARCH_SPRAY_PRIME_BEAM,Spray Prime Beam,Spray Prime,1,6,prime,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_ARCH_SPRAY_PRIME_COLUMN,Spray Prime Column,Spray Prime,1,6,prime,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_ARCH_SPRAY_PRIME_MANTEL,Spray Prime Mantel,Spray Prime,1,6,prime,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_ARCH_WALL_MASK,Mask Adjacent Wall,,1,8,setup,arch_element,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BACKROLL_CEILING_FINISH,Backroll Ceiling Finish,Roll Finish,4,23,apply,drywall,QT2;QT3;QT4;QT5,nc_interior,spray_backroll,paint;prime,
TSK_BACKROLL_DWL,Backroll Drywall (SF),,0,0,,,,,,,ORPHAN|ACTIVITY_UNMATCHED
TSK_BACKROLL_SPRAY_DWL,Spray (Tethered to Backroll) Drywall (SF),,0,0,,,,,,,ORPHAN|ACTIVITY_UNMATCHED
TSK_BACKROLL_WALL_FINISH,Backroll Wall Finish,Roll Finish,4,23,apply,drywall,QT2;QT3;QT4;QT5,nc_interior,spray_backroll,paint;prime,
TSK_BALUSTER_CLEAR_BRUSH,Brush Clear baluster,,1,12,apply,baluster,QT3;QT4;QT5,nc_interior,brush;wipe,stain_clear,ACTIVITY_UNMATCHED
TSK_BALUSTER_CLEAR_WIPE,Wipe Clear baluster,,1,12,apply,baluster,QT3;QT4;QT5,nc_interior,brush;wipe,stain_clear,ACTIVITY_UNMATCHED
TSK_BALUSTER_FINISH_BRUSH,Brush Finish baluster,,1,12,apply,baluster,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BALUSTER_FINISH_SPRAY,Spray Finish baluster,,1,12,apply,baluster,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BALUSTER_INTERSTAGE,Interstage baluster,,1,12,interstage,baluster,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BALUSTER_INTERSTAGE_STAIN,Interstage Stain baluster,,1,12,interstage,baluster,QT3;QT4;QT5,nc_interior,brush;wipe,stain_clear,ACTIVITY_UNMATCHED
TSK_BALUSTER_PRIME_BRUSH,Brush Prime baluster,Brush Prime,1,6,prime,baluster,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BALUSTER_PRIME_SPRAY,Spray Prime baluster,Spray Prime,1,6,prime,baluster,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BALUSTER_STAIN_BRUSH,Brush Stain baluster,,1,6,prime,baluster,QT3;QT4;QT5,nc_interior,brush;wipe,stain_clear,ACTIVITY_UNMATCHED
TSK_BALUSTER_STAIN_WIPE,Wipe Stain baluster,,1,6,prime,baluster,QT3;QT4;QT5,nc_interior,brush;wipe,stain_clear,ACTIVITY_UNMATCHED
TSK_BETWEEN_COAT_SAND_LF,Between Coat Sand (LF),,39,91,apply;interstage;prep,baseboard;chair_rail;crown;door_casing;door_frame;int_baseboard;int_chair_rail;int_crown;int_door_casing;int_door_frame;int_panel_mold;int_picture_rail;int_shadow_box;int_shoe_mold;int_window_apron;int_window_casing;int_window_jamb;int_window_stool;panel_mold;picture_rail;shadow_box;shoe_mold;window_apron;window_casing;window_jamb;window_stool,QT3;QT4;QT5,nc_interior,brush;spray,paint;stain,ACTIVITY_UNMATCHED|MULTI_PHASE|MULTI_SUBSTRATE|PI_INT_PREFIX_DUPE
TSK_BETWEEN_COAT_SAND_SF,Between Coat Sand (SF),,1,4,interstage,wainscot,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BLT_BRUSH_FINISH,Brush Builtin Finish,Brush Finish,1,6,finish,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BLT_CAULK_JOINTS,Caulk Builtin Joints,Caulk Joints,1,6,prep,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BLT_FILL,Fill Builtin Defects,,1,6,prep,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BLT_FINAL_INSPECT,Final Inspect Builtin,Final Inspect,1,6,cleanup,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BLT_FIXTURE_MASK,Mask Builtin Fixtures,,1,6,setup,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BLT_FLOOR_PROTECT,Builtin Floor Protection,Floor Mask Cycle,1,6,setup,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BLT_INSPECT_COAT,Inspect Builtin Coat,Inspect Coat,1,6,interstage,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BLT_PRIME,Prime Builtin,,1,6,prime,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BLT_REMOVE_FIXTURE_MASK,Remove Builtin Fixture Mask,,1,6,cleanup,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BLT_REMOVE_FLOOR_PROTECT,Remove Builtin Floor Protection,Floor Mask Cycle,1,6,cleanup,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BLT_REMOVE_WALL_MASK,Remove Builtin Wall Mask,,1,6,cleanup,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BLT_SAND_BETWEEN,Sand Builtin Between Coats,Sand Between Coats,1,6,interstage,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BLT_SAND_FILL,Sand Builtin Fill,,1,6,prep,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BLT_SAND_PREP,Sand Builtin Surface,Sand Prep,1,6,prep,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BLT_SAND_PRIMER,Sand Cured Builtin Primer,,1,6,prime,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,"ACTIVITY_UNMATCHED|PHASE_DOCTRINE_HINT(name->prep|interstage, derived->prime)"
TSK_BLT_SEAL_MDF,Seal Builtin MDF,,1,6,prep,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BLT_SPRAY_FINISH,Spray Builtin Finish,Spray Finish,1,6,finish,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_BLT_TACK_CLEAN,Tack Clean Builtin,,1,6,interstage,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BLT_WALL_MASK,Mask Wall Adjacent Builtin,,1,6,setup,builtin,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_BRUSH_COAT_LF,Brush Coat (LF),,26,156,apply,baseboard;chair_rail;crown;door_casing;door_frame;panel_mold;picture_rail;shadow_box;shoe_mold;window_apron;window_casing;window_jamb;window_stool,QT3;QT4;QT5,nc_interior,brush;spray,paint;prime,ACTIVITY_UNMATCHED|MULTI_SUBSTRATE
TSK_BRUSH_COAT_SF,Brush Coat (SF),,6,8,finish;prime,wainscot;wood_ceiling;wood_wall,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED|MULTI_PHASE
TSK_CABT_BACKSPLASH_MASK,Mask Backsplash,,1,24,setup,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_CAULK_FRAME,Caulk Cabinet Frame,,1,24,prep,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_COUNTERTOP_COVER,Countertop Cover,,1,24,setup,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_DEGREASE_DOORS,Degrease Cabinet Doors,,1,24,prep,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_DEGREASE_FRAME,Degrease Cabinet Frame,,1,24,prep,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_DOOR_REINSTALL,Reinstall Cabinet Doors,,1,24,cleanup,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_DOOR_REMOVE,Remove Cabinet Doors,,1,24,setup,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_DRAWER_REINSTALL,Reinstall Cabinet Drawers,,1,24,cleanup,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_DRAWER_REMOVE,Remove Cabinet Drawers,,1,24,setup,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_FILL_DOORS,Fill Cabinet Door Defects,,1,24,prep,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_FINAL_INSPECT_FRAME,Final Inspect Cabinet Frame,Final Inspect,1,24,cleanup,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,
TSK_CABT_FLOOR_FULL,Full Kitchen Floor Cover,,1,24,setup,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_HARDWARE_REINSTALL,Reinstall Cabinet Hardware,,1,24,cleanup,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_HARDWARE_REMOVE,Remove Cabinet Hardware,,1,24,setup,cabinet,QT3;QT4;QT5,nc_interior,brush;spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_BONDING_BRUSH_DOOR,Brush Bonding Primer on Cabinet Doors,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,brush,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_BONDING_BRUSH_DRAWER,Brush Bonding Primer on Cabinet Drawers,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,brush,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_BONDING_BRUSH_FRAME,Brush Bonding Primer on Cabinet Frame,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,brush,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_BONDING_BRUSH_INTERIOR,Brush Bonding Primer on Cabinet Interior,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,brush,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_BONDING_SPRAY_DOOR,Spray Bonding Primer on Cabinet Doors,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_BONDING_SPRAY_DRAWER,Spray Bonding Primer on Cabinet Drawers,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_BONDING_SPRAY_FRAME,Spray Bonding Primer on Cabinet Frame,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_BONDING_SPRAY_INTERIOR,Spray Bonding Primer on Cabinet Interior,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_STBLOCK_BRUSH_DOOR,Brush Stain-Blocking Primer on Cabinet Doors,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,brush,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_STBLOCK_BRUSH_DRAWER,Brush Stain-Blocking Primer on Cabinet Drawers,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,brush,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_STBLOCK_BRUSH_FRAME,Brush Stain-Blocking Primer on Cabinet Frame,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,brush,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_STBLOCK_BRUSH_INTERIOR,Brush Stain-Blocking Primer on Cabinet Interior,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,brush,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_STBLOCK_SPRAY_DOOR,Spray Stain-Blocking Primer on Cabinet Doors,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_STBLOCK_SPRAY_DRAWER,Spray Stain-Blocking Primer on Cabinet Drawers,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_STBLOCK_SPRAY_FRAME,Spray Stain-Blocking Primer on Cabinet Frame,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_PRIME_STBLOCK_SPRAY_INTERIOR,Spray Stain-Blocking Primer on Cabinet Interior,,1,3,prime,cabinet,QT3;QT4;QT5,nc_interior,spray,paint,ACTIVITY_UNMATCHED
TSK_CABT_PROT_EDGE_SETUP,Mask Cabinets — Edge tape only (setup),,4,4,setup,cabinet,,nc_interior,,protect,NO_QT|ACTIVITY_UNMATCHED
TSK_CABT_PROT_EDGE_TEARDOWN,Remove Cabinet Edge Mask,,1,1,setup,cabinet,,nc_interior,,protect,NO_QT|ACTIVITY_UNMATCHED
TSK_CABT_PROT_ENCAP_SETUP,Mask Cabinets — Encapsulate (setup),,2,2,setup,cabinet,,nc_interior,,protect,NO_QT|ACTIVITY_UNMATCHED
TSK_CABT_PROT_ENCAP_TEARDOWN,Remove Cabinet Encapsulate Mask,,2,2,setup,cabinet,,nc_interior,,protect,NO_QT|ACTIVITY_UNMATCHED
TSK_CABT_PROT_FACE_COVER,Cover Cabinet Faces (Light),,1,1,setup,cabinet,,nc_interior,,protect,NO_QT|ACTIVITY_UNMATCHED
TSK_CABT_PROT_FULL_SETUP,Mask Cabinets — Full drape (setup),,2,2,setup,cabinet,,nc_interior,,protect,NO_QT|ACTIVITY_UNMATCHED
